"VOYAGE_ID","VESSEL_ID","VOYAGE_STATUS","ESTIMATED_VOYAGE_START_DATE","HAS_CANAL_PASSAGE","IS_BALLAST","CANAL_COST","MILES_DIRECT","MILES_BALLAST","MILES_LOADED","DAYS_TOTAL_AT_SEA","DAYS_TOTAL_IN_PORT","DAYS_BALLAST","DAYS_LOADED","DAYS_WAITING","ORIGIN_PORT_ID","DEST_PORT_ID","RP_BALLAST_ID","RP_LOADED_ID","TERMINAL_ID","LAYCAN_START_UTC","LAYCAN_END_UTC","FREIGHT","GROSS_FREIGHT","NET_FREIGHT","FREIGHT_COST","PORT_COST","HANDLING_COST","VOYAGE_CANAL_COST","FO_COST","DO_COST","VARIOUS_COST","VARIOUS_REVENUE","RUNNING_COST","RUNNING_COST_PER_DAY"
1876884,1041384,"A",21-JUL-25,0,0,635100,,1263.134724138621,621.9943009495076,6.5979515937987,0,4.420971540475423,2.176980053323277,0,104360,,,,,26-JUL-25,27-JUL-25,6796875,6801875,6546992.1875,0,175000,0,635100,0,0,0,5000,0,0
1878592,1041384,"P",21-JUL-25,0,0,635100,,1263.3678545261866,621.9943009495076,6.59876754416493,0,4.421787490841653,2.176980053323277,0,104360,,,,,26-JUL-25,27-JUL-25,6796875,6796875,6541992.1875,0,175000,0,635100,0,0,0,0,0,0
1882755,1041237,"T",26-JUL-25,0,1,0,,5046.758507445036,8929.480931094313,62.663654776057626,0,17.663654776057626,45,9,102355,,,,,,,2430000,2430003,2399628,0,0,0,0,0,0,0,3,0,0
1884560,1041237,"T",26-JUL-25,0,0,0,,110.68956055069805,8929.480931094313,45.387413461927444,0,0.3874134619274432,45,8,102355,,,,,,,2430000,2450000,2419625,0,0,0,0,0,0,0,20000,0,0
1892574,1041918,"T",24-JUL-25,0,0,0,,578.9525672081388,5147.785386947015,20.04358283954304,0,2.0263339852284856,18.017248854314552,0.64,102355,,,,,11-AUG-25,12-AUG-25,2203402.4999999995,2203402.4999999995,2120774.9062499995,0,275000,0,0,0,0,0,0,0,0
1893323,1041918,"T",24-JUL-25,0,0,0,,578.9525672081388,11596.717461753698,42.614845101366434,0,2.0263339852284856,40.58851111613795,0,102355,,,,915272,11-AUG-25,12-AUG-25,2489532.5,2489532.5,2396175.03125,0,259828,0,0,0,0,0,0,0,0
1893860,1041918,"T",24-JUL-25,0,0,0,,578.9525672081388,5759.636902160904,22.185063142791652,0,2.0263339852284856,20.158729157563165,0,102355,,,,915460,11-AUG-25,12-AUG-25,0,0,0,0,259828,0,0,0,0,0,0,0,0
1905214,1041179,"A",22-APR-25,0,0,0,,300,1649.1545822921228,0.7083333974358975,0,0.1666667307692309,0.5416666666666666,0,100955,,,,,01-AUG-25,03-AUG-25,650000,650000,625625,0,130000,0,0,0,0,15000,0,0,0
1905847,1041179,"P",22-APR-25,0,0,0,,1473.493817838319,1649.1545822921228,10.508912885054372,0,4.95887342541742,5.550039459636952,0,100955,,,,,01-AUG-25,03-AUG-25,650000,650000,625625,0,130000,0,0,0,0,15000,0,0,0
1909421,1043108,"T",11-JUL-25,0,0,0,,8083.004562520349,4416.184875081052,43.747163031604906,0,28.29051596882122,15.456647062783684,0,100817,,,,,02-AUG-25,04-SEP-25,1944442.5000000002,1944442.5000000002,1871525.9062500002,0,180000,0,0,0,0,50000,0,0,0
1914781,1043108,"T",11-JUL-25,0,0,0,,8083.004562520349,4416.184875081052,43.747163031604906,0,28.29051596882122,15.456647062783684,0,100817,,,,,04-SEP-25,06-SEP-25,2003365.0000000002,2115365,2040238.8125,0,180000,0,0,0,0,50000,112000,0,0
1915713,1041918,"T",30-JUL-25,0,0,0,,8083.004562520349,4416.184875081052,43.747163031604906,0,28.29051596882122,15.456647062783684,0,100817,,,,,04-SEP-25,06-SEP-25,2003365.0000000002,2115365,2040238.8125,0,180000,0,0,0,0,50000,112000,0,0
