"VOYAGE_ID","CARGO_ID","COMMODITY_ID","BASELINE_TERM_ID","BASELINE_TERM_2_ID","LAYCAN_FROM","LAYCAN_TO","CARGO_QUANTITY","QUANTITY_OPTION_PCT","BOOKED_QUANTITY"
2217471,2217488,1130557,,,04-APR-25,14-APR-25,40000,0,40000
2218286,2218295,,,,,,10000,0,10000
2218286,2759936,,,,,,10000,0,10000
2222263,2222273,1130677,1038627,,06-APR-25,06-JUN-25,135000,0,135000
2222360,2222361,1038646,,,04-FEB-25,05-FEB-25,145000,0,145000
2222410,2222415,1130698,,,06-JUN-25,08-JUN-25,140000,0,140000
2222494,2222501,1130677,1038627,,14-JUL-25,15-JUL-25,130000,0,130000
2222532,2222533,1130698,,,,,130000,0,40000
2222532,2222542,1038646,,,,,130000,0,40000
2222752,2222755,1130677,,,26-JUL-25,27-JUL-25,1450000,0,1450000
2222794,2222795,1130594,,,,,1000,0,1000
2222826,2222827,1130594,,,08-MAY-25,10-MAY-25,135000,0,1000
2222906,2222934,1130677,,,17-JUL-25,18-JUL-25,130000,0,130000
2222989,2222994,1130677,,,18-JUN-25,20-JUN-25,130000,0,130000
2223057,2223058,1130677,,,,,145000,0,145000
2223300,2223309,1130677,,,,,130000,0,130000
2223300,2223314,1130677,,,,,130000,0,130000
2223476,2223479,1130686,,,27-JUN-25,28-JUN-25,130000,0,130000
2223534,2223535,1130677,,,20-JUN-25,,130000,0,130000
2372703,2372717,1038646,,,,,35000,0,35000
2373236,2373243,1038646,,,,,35000,0,35000
2375353,2375360,,,,,,0,0,0
2426323,2426330,,,,,,0,0,0
2494974,2494981,,,,,,37000,0,37000
2509355,2509362,1130658,,,,,30000,0,30000
2515710,2515717,1038646,,,,,38000,0,38000
2537071,2537078,1130677,,,24-SEP-25,25-SEP-25,130000,0,130000
2608970,2608977,1038646,,,,,35000,0,35000
2628507,2628516,1038646,,,,,38000,0,38000
2628928,2628935,1130677,,,05-OCT-25,06-OCT-25,130000,0,130000
2630227,2630234,1038646,,,,,37000,0,37000
2639324,2639331,,,,,,0,0,0
2639982,2639989,1130686,,,,,0,0,0
2644918,2644929,1130677,1038627,,14-JUL-25,15-JUL-25,130000,0,130000
2644968,2644969,1130698,,,,,130000,0,40000
2644968,2644978,1038646,,,,,130000,0,40000
2645803,2645814,1130677,1038627,,14-JUL-25,15-JUL-25,130000,0,130000
2646140,2646147,,,,,,0,0,0
2646891,2646898,,,,,,0,0,0
2648938,2648945,,,,,,38000,0,38000
2652626,2652640,1130557,,,04-APR-25,14-APR-25,40000,0,40000
2652626,2878764,1130557,,,04-APR-25,14-APR-25,50000,0,50000
2661666,2661673,1130677,,,09-OCT-25,10-OCT-25,130000,0,130000
2662321,2662328,1038646,,,24-SEP-25,26-SEP-25,38000,0,38000
2666910,2666917,,,,21-SEP-25,23-SEP-25,37000,0,37000
2667528,2667535,,,,,,38000,0,38000
2669637,2669644,1038646,,,02-OCT-25,03-OCT-25,37000,0,37000
2678693,2678700,,,,,,0,0,0
2679115,2679122,,,,,,0,0,0
2684265,2684272,1038646,,,05-OCT-25,07-OCT-25,37000,0,37000
2685351,2685358,1038646,,,,,0,0,37000
2689339,2689930,1038646,,,,,37000,0,37000
2711859,2711866,,,,,,37000,0,37000
2730005,2730016,1038646,,,25-SEP-25,26-SEP-25,38000,0,38000
2731532,2731551,1038646,,,25-SEP-25,26-SEP-25,38000,0,38000
2732472,2732479,1130536,,,20-MAY-25,21-MAY-25,42000,0,42000
2733212,2733221,1130536,,,17-JUL-25,26-SEP-25,38000,0,38000
2734566,2734586,1130536,,,17-JUL-25,26-SEP-25,38000,0,38000
2735626,2735638,1130536,,,20-MAY-25,21-MAY-25,42000,0,42000
2739924,2739933,1130658,,,,,18000,0,18000
2748132,2748156,1130658,,,,,18000,0,18000
2748132,2749359,,,,,,13000,0,13000
2752771,2752778,,,,,,10000,0,10000
2753390,2753404,1038646,,,,,35000,0,35000
2754181,2754190,1130557,,,,,40000,0,40000
2755288,2755302,1038646,,,,,0,0,0
2757881,2757888,1038646,,,,,35000,0,35000
2763070,2763106,1130658,,,,,18000,0,18000
2766263,2766270,1130677,,,23-OCT-25,24-OCT-25,145000,0,145000
2774202,2774211,1038646,,,23-SEP-24,25-SEP-24,38000,0,38000
2775420,2775437,1038646,,,23-SEP-24,25-SEP-24,38000,0,38000
2805526,2805533,1129805,1038627,,,,40000,0,40000
2806438,2806450,1129805,,,,,40000,0,40000
2808847,2808854,1130677,,,29-SEP-25,30-SEP-25,130000,0,130000
2809903,2809920,1130677,,,29-SEP-25,30-SEP-25,130000,0,130000
2828481,2828494,1038646,,,03-OCT-25,05-OCT-25,40000,0,40000
2829215,2829222,,,,03-OCT-25,,38000,0,38000
2855608,2855615,1130677,,,27-AUG-25,27-AUG-25,145000,0,145000
2873702,2873709,,,,21-OCT-25,21-OCT-25,130000,0,130000
2874690,2874693,1129805,1038627,,,,40000,0,40000
2874769,2874770,1130536,,,17-JUL-25,26-SEP-25,38000,0,38000
2874812,2874813,1038646,,,25-SEP-25,26-SEP-25,38000,0,38000
2874857,2874864,1130536,,,21-APR-25,25-APR-25,40000,0,40000
2874912,2874923,1130557,,,01-APR-25,07-APR-25,40000,0,40000
2874953,2874956,1130557,,,15-MAY-25,17-MAY-25,50000,0,50000
2874953,2874965,1038646,,,30-APR-25,01-MAY-25,0,0,0
2875030,2875036,1038646,,,,,36002.312,0,36002.312
2875127,2875132,1130639,,,,,40000,0,40000
2875191,2875192,1038646,,,,,37000,0,37000
2875219,2875220,1038646,,,01-AUG-25,03-AUG-25,40000,0,40000
2875344,2875345,1038646,,,,,17500,0,17500
2875344,2875354,1038646,,,,,14000,0,14000
2875344,2875359,1038646,1038627,,,,2420,0,24400
2875344,2875364,1038646,,,,,5000,0,5000
2875344,2875369,1038646,,,,,5000,0,5000
2875516,2875525,1130566,,,09-MAR-25,10-MAR-25,42000,0,42000
2875574,2875585,1130536,,,,,49700.44,0,49700.44
2875574,2875594,1130546,,,,,20000,0,20000
2875663,2875666,1038646,,,30-APR-25,01-MAY-25,35000,0,35000
2875691,2875702,1129818,,,01-MAY-25,02-MAY-25,36940.47,0,36940.47
2875736,2875741,1038646,,,,,40000,0,40000
2875736,2875750,1038646,,,,,40000,0,40000
2875942,2875945,1038646,,,23-SEP-24,25-SEP-24,38000,0,38000
2875987,2875990,1130536,,,,,40000,0,40000
2875987,2875995,1038646,,,11-JAN-25,15-JAN-25,40000,0,40000
2876048,2876051,1130536,,,20-MAY-25,21-MAY-25,42000,0,42000
2876101,2876102,1038646,1038627,,,,35000,0,35000
2876199,2876210,1130557,,,,,49950,0,49950
2876306,2876311,1038646,,,16-MAR-25,18-MAR-25,37000,0,37000
2876400,2876409,1130546,,,09-JUL-25,09-AUG-25,109000,0,109000
2876471,2876476,1130546,,,31-JUL-25,03-AUG-25,10000,0,10000
2876517,2876518,1130546,,,05-AUG-25,08-AUG-25,12000,0,12000
2876551,2876552,1130546,,,31-JUL-25,03-AUG-25,10000,0,10000
2876696,2876699,1129805,1038627,,,,40000,0,40000
2876775,2876776,1130536,,,17-JUL-25,26-SEP-25,38000,0,38000
