"VOYAGE_ID","VESSEL_ID","VOYAGE_START_TS","MILES_BALLAST","MILES_LOADED","MILES_TOTAL","SPEED_BALLAST","SPEED_LOADED","DAYS_AT_SEA","DAYS_IN_PORT_TOTAL","DAYS_TOTAL","DAYS_OFFHIRE","HAS_CANAL_PASSAGE","CANAL_COST","CANAL_1_ID","CANAL_2_ID","VOYAGE_STATUS","VESSEL_TYPE_ID"
1050535,1041237,24-JUN-23,4894.290339484522,6845.316106911035,11739.606446395557,12.5,12.5,41.088622562384444,0,75.04100351476539,0,0,0,,,"A",1039859
1452697,1041237,24-JUN-23,4894,6845,11739,12.5,12.5,41.088622562384444,0,53.61243208619396,0,0,0,,,"P",1039859
1270805,1042784,21-JUL-23,4402.661845275763,4363.345454704852,8766.007299980615,13,13,30.03283983901958,0,35.53283983901958,0,0,0,,,"T",1038665
1218581,1041307,15-AUG-23,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"T",1038665
1218926,1041307,15-AUG-23,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"T",1038665
1219275,1041307,15-AUG-23,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"T",1038665
1219628,1041307,15-AUG-23,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"T",1038665
1218240,1041307,15-AUG-23,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"T",1038665
1220714,1041307,15-AUG-23,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"T",1038665
1221085,1041307,15-AUG-23,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"T",1038665
1221460,1041307,15-AUG-23,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"T",1038665
1220347,1041307,15-AUG-23,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"T",1038665
1801834,1041237,07-SEP-23,0,2360.017113304478,2360.017113304478,12.5,12.5,8.260059896565672,0,26.76005989656567,0,0,0,,,"P",1039859
1796744,1041237,07-SEP-23,0,2360.017113304478,2360.017113304478,12.5,12.5,8.260059896565672,0,26.76005989656567,0,0,0,,,"T",1039859
1453954,1040826,09-DEC-23,629.2295685757045,1145.3949566168642,1774.6245251925687,13,13,6.000527898870857,0,11.500527898870857,0.25,0,0,,,"P",1038665
2879790,1040826,09-DEC-23,629.2295685757045,1145.3949566168642,1774.6245251925687,13,13,514.9583377270978,0,520.4583377270978,0.25,0,0,,,"P",1038665
1074938,1040826,09-DEC-23,629,1145,1774,13,13,5.972294075167298,0,11.472294075167298,0,0,0,,,"P",1038665
1134637,1040826,09-DEC-23,629.2295685757045,1145.3949566168642,1774.6245251925687,13,13,6.000527898870857,0,11.500527898870857,0.25,0,0,,,"P",1038665
1061928,1040826,09-DEC-23,629.2295685757045,1145.3949566168642,1774.6245251925687,13,13,514.9583377270978,0,520.4583377270978,0.25,0,0,,,"A",1038665
1062743,1040826,09-DEC-23,629,1145,1774,13,13,5.972294075167298,0,11.472294075167298,0,0,0,,,"P",1038665
1452594,1040826,09-DEC-23,629.2295685757045,1145.3949566168642,1774.6245251925687,13,13,6.000527898870857,0,11.500527898870857,0.25,0,0,,,"P",1038665
1760597,1040826,09-DEC-23,629.2295685757045,1145.3949566168642,1774.6245251925687,13,13,514.9583377270978,0,520.4583377270978,0.25,0,0,,,"P",1038665
2877231,1040826,09-DEC-23,629.2295685757045,1145.3949566168642,1774.6245251925687,13,13,514.9583377270978,0,520.4583377270978,0.25,0,0,,,"P",1038665
2875030,1040826,09-DEC-23,629.2295685757045,1145.3949566168642,1774.6245251925687,13,13,514.9583377270978,0,520.4583377270978,0.25,0,0,,,"P",1038665
1078752,1040826,09-DEC-23,629,1145,1774,13,13,6.000527898870857,0,11.500527898870857,0,0,0,,,"P",1038665
1287130,1040826,21-DEC-23,5092.9104111688475,5628.481315569872,10721.3917267387195,13,13,36.081606772678384,0,39.831606772678384,0,0,0,,,"T",1038665
1492670,1040826,21-DEC-23,5125.08200921149,5162.008997764303,10287.091006975793,13,13,34.620017811937764,0,37.119774756382206,0,0,0,,,"P",1038665
