"VOYAGE_ID","VESSEL_ID","VOYAGE_STATUS","ESTIMATED_VOYAGE_START_DATE","HAS_CANAL_PASSAGE","CANAL_COST","MILES_DIRECT","MILES_BALLAST","MILES_LOADED","DAYS_TOTAL_AT_SEA","DAYS_TOTAL_IN_PORT","DAYS_BALLAST","DAYS_LOADED","DAYS_WAITING","ORIGIN_PORT_ID","DEST_PORT_ID","RP_BALLAST_ID","RP_LOADED_ID","LAYCAN_START_UTC","LAYCAN_END_UTC"
1259762,1042074,"T",03-MAY-25,0,0,,3616.4554321123833,9017.978952931848,45.062815973324426,0,12.898691041200834,32.16412493212359,10,102355,,,,22-APR-25,24-APR-25
1267163,1042278,"T",26-OCT-22,0,0,,500.6950446149975,386.9141061970566,2.98714618061749,0,1.6850314001466262,1.3021147804708635,0,104526,,,,26-OCT-22,26-OCT-22
1269182,1041179,"T",15-APR-25,0,0,,3421.1505845542038,3421.150584554204,24.12349771160016,0,12.061748855800078,12.06174885580008,0,101967,,,,15-APR-25,15-APR-25
1270270,1040617,"A",08-MAR-24,0,0,,170.06134261259075,5439.560593130829,18.8741186271675,0,0.5679050925925926,18.30621353457491,0,100469,,,,08-MAR-24,08-MAR-24
1270805,1042784,"T",21-JUL-23,0,0,,4402.661845275763,4363.345454704852,30.03283983901958,0,15.068802542435634,14.964037296583948,1,103527,,,,21-JUL-23,21-JUL-23
1272642,1040826,"T",21-DEC-23,0,0,,1829.4632277599173,5150.79159362607,23.49124218735669,0,6.156847401115106,17.33439478624158,0,100817,,,,21-DEC-23,21-DEC-23
1274843,1040617,"T",08-MAR-24,0,0,,4402.661845275763,4363.345454704852,30.830617287107454,0,15.447027542955732,15.383589744151722,2,103527,,,,08-MAR-24,08-MAR-24
1275456,1040826,"A",21-DEC-23,0,0,,5125.08200921149,26952.347164478713,92.93418116250848,0,2.2291666666666665,90.70501449584181,0,100265,,,,30-APR-25,17-MAY-25
1275899,1040617,"T",08-MAR-24,0,0,,4402.661845275763,4363.345454704852,30.830617287107454,0,15.447027542955732,15.383589744151722,2,103527,,,,08-MAR-24,08-MAR-24
1276622,1040617,"P",08-MAR-24,0,0,,170.06134261259075,5162.008997764303,17.944467491653008,0,0.572321826100065,17.372145665552942,0,100469,,,,08-MAR-24,08-MAR-24
1277164,1040617,"T",28-MAR-24,0,0,,0,10605.98121625818,50,0,0,50,0,103029,,,,28-MAR-24,28-MAR-24
